Cluster,Identifier
358,7UL7_1_D_c
358,7UL7_1_L_a
358,4S1R_1_L_G
358,6EYO_1_M_B
358,6EYO_1_L_A
358,6EYO_1_M_A
358,6UYG_1_L_E
358,6X1T_1_L_H
358,6T3F_1_L_F
358,8JVA_1_B_F
358,4DQO_1_H_C
358,3IDX_1_H_G
358,3IDY_1_B_A
358,3IDY_1_H_G
358,6MEJ_1_H_C
358,6BF4_1_B_A
358,6MEK_1_B_A
358,4QWW_1_D_B
358,7JKT_1_H_G
358,7JKS_1_H_G
358,7SYZ_1_H_A
358,7TUF_1_A_D
358,1KEN_1_H_C
358,4QWW_1_F_A
358,1KEN_1_T_E
358,6CNJ_1_I_B
358,8ST2_1_G_C
358,6CNK_1_G_C
358,8ST2_1_K_E
358,8ST1_1_K_E
358,8ST1_1_G_C
358,6CNJ_1_K_E
358,6CNJ_1_G_C
358,6CNK_1_K_E
358,1YJD_1_H_C
358,6FN1_1_C_A
358,6QEX_1_C_A
358,4HLZ_1_G_A
358,4HLZ_1_I_C
358,6N6B_1_K_A
358,4HC1_1_H_A
358,3QUM_1_B_P
358,4ZSO_1_B_E
358,3QUM_1_H_P
358,9F1I_1_H_P
358,1NFD_1_H_D
358,7NKS_1_C_B
358,7K66_1_B_A
358,7T9M_1_H_R
358,4ZXB_1_A_E
358,3IET_1_B_X
358,3IET_1_D_Q
358,5NJ3_1_C_A
358,5NJ3_1_E_B
358,4HLZ_1_K_E
358,8D4R_1_D_G
358,6B0N_1_D_G
358,7S1B_1_X_B
359,8FSJ_1_C_E
359,5W08_1_G_A
359,6B0N_1_H_G
359,6LXI_1_H_A
359,6LXK_1_J_C
359,6LXK_1_E_D
359,6LXK_1_H_A
359,5UTY_1_H_G
359,6CH7_1_Q_G
359,5K9Q_1_G_E
359,5K9Q_1_G_C
359,5K9Q_1_J_E
359,8HWS_1_I_A
359,2NY7_1_H_G
359,8DF5_1_C_S
359,7BEP_1_H_E
359,6XQ0_1_E_D
359,7Q0I_1_A_D
359,7Q0I_1_H_D
359,7Q0I_1_H_C
359,6IUV_1_H_A
359,4OM1_1_H_G
359,4OLU_1_H_G
359,4OLZ_1_H_G
359,4OM0_1_H_G
359,8HLC_1_H_A
359,6MEI_1_H_C
359,8HLC_1_I_B
359,4XVS_1_H_G
359,4OLW_1_H_G
359,8HLC_1_J_C
359,7TN0_1_B_I
359,4OLX_1_H_G
359,4OLY_1_H_G
359,4OLV_1_H_G
359,8JIZ_1_E_B
359,6TYB_1_H_G
359,4GXU_1_Q_E
359,7F3Q_1_C_A
359,4GXU_1_M_A
359,7F7E_1_C_E
359,8W0Y_1_A_D
359,7LM9_1_H_A
359,7XJF_1_A_C
359,5W1K_1_O_P
359,6V8X_1_G_E
359,6V8X_1_C_A
359,6V8X_1_K_I
359,7NTC_1_H_C
359,3NGB_1_H_G
359,6X4T_1_D_A
359,6WO3_1_H_E
359,7Y0V_1_H_R
359,8D48_1_H_A
359,5T33_1_H_G
359,7CZP_1_H_L
359,5VOB_1_H_D
359,8SIC_1_A_E
359,7CZP_1_J_N
359,7MRZ_1_X_C
359,8ZHE_1_J_B
359,8ZHE_1_H_A
359,8ZHE_1_F_C
359,7LY3_1_D_A
359,6BKB_1_H_E
359,7JVC_1_C_B
359,7JVC_1_H_A
359,6JJP_1_A_C
359,4DAG_1_H_A
359,7JVC_1_F_E
359,4K9E_1_H_C
359,7Q6E_1_H_A
359,6IUT_1_H_A
359,7VAC_1_B_G
359,7Q0G_1_A_E
359,7OLY_1_H_C
359,4DVR_1_H_G
359,7Q6E_1_J_C
359,7Q6E_1_E_B
359,7Y0C_1_A_R
359,7CGW_1_A_C
359,6MG7_1_H_G
359,6WOQ_1_J_E
359,8D7E_1_F_C
359,8JR3_1_B_E
359,7V7K_1_B_C
359,7X08_1_I_C
359,7X08_1_J_A
359,7X08_1_H_B
359,5UTF_1_D_G
359,5U7M_1_D_G
359,5FYK_1_D_B
359,5FYJ_1_D_B
359,5FYK_1_D_G
359,5FYJ_1_D_G
359,5UTY_1_D_G
359,5FYL_1_D_G
359,4TVP_1_D_G
359,5U7O_1_D_G
359,6UTK_1_D_T
359,5UM8_1_D_B
359,7KMD_1_A_G
359,6UTK_1_D_G
359,6MCO_1_D_G
359,5V7J_1_D_G
359,6MCO_1_D_B
359,6MDT_1_D_G
359,5UM8_1_D_G
359,7KMD_1_A_T
359,6CH7_1_D_G
359,6URH_1_H_C
359,4YDJ_1_H_G
359,5UM8_1_H_G
359,6MCO_1_H_G
359,5V7J_1_H_G
359,5W6D_1_H_G
359,5CEZ_1_H_G
359,6V8Z_1_D_A
359,6V8Z_1_P_M
359,6V8Z_1_J_G
359,5T3Z_1_H_G
359,7UCF_1_H_G
359,4R2G_1_Q_E
359,6W03_1_H_G
359,6NNF_1_H_G
359,6CK9_1_H_G
359,3TYG_1_H_A
359,3SE9_1_H_G
359,4LST_1_H_G
359,5KAQ_1_H_B
359,5KAQ_1_Q_A
359,5KAQ_1_F_C
359,5KAN_1_G_C
359,6UTK_1_H_G
359,5KAN_1_H_A
359,5ESV_1_A_E
359,5ESV_1_C_F
359,7LL1_1_E_C
359,7LL1_1_H_A
359,7LL1_1_J_G
359,8T1G_1_H_E
359,8T1G_1_G_C
359,5ESV_1_H_G
359,5ESV_1_C_G
359,5ESV_1_H_E
359,5FYK_1_H_G
359,5U7O_1_H_G
359,5FYL_1_H_G
359,5FYJ_1_H_G
359,4TVP_1_H_G
359,5UTF_1_H_G
359,5U7M_1_H_G
359,3ZTJ_1_I_C
359,6MEH_1_H_C
359,6OZ2_1_H_G
359,8FSJ_1_H_E
359,7JX3_1_A_R
359,7S1B_1_H_A
359,6A67_1_H_A
359,4PY8_1_I_A
359,6MEJ_1_A_C
359,5T3Z_1_D_G
359,6WO4_1_H_E
359,4S1Q_1_H_G
359,5K9Q_1_H_A
359,6WJ1_1_G_A
359,5KAN_1_J_E
359,4J4P_1_C_B
359,4J4P_1_C_A
359,5CJX_1_H_B
359,5CJX_1_H_G
359,8TTW_1_C_A
359,8TTW_1_K_I
359,8TTW_1_G_E
359,5CJX_1_A_K
359,5CJX_1_D_X
359,5CJX_1_A_J
359,5CJX_1_D_Y
359,4P9H_1_H_G
359,6V8Z_1_O_M
359,6V8Z_1_I_G
359,6V8Z_1_C_A
359,4JM2_1_A_E
359,3U2S_1_H_G
359,3U4E_1_H_G
359,6NM6_1_H_G
359,6MU6_1_H_G
359,6VZI_1_H_G
359,6MTN_1_H_G
359,6MTJ_1_H_G
359,6NNJ_1_H_G
359,6WIX_1_H_G
359,6MUF_1_H_G
359,7KMD_1_H_G
359,4J4P_1_H_B
359,4J4P_1_H_A
359,5JW3_1_H_A
359,4FQJ_1_H_A
359,6UYD_1_H_E
359,8BSF_1_H_A
359,6UYM_1_H_E
359,8JIZ_1_G_D
359,6WO5_1_H_E
359,5UDC_1_H_F
359,7UMM_1_H_B
359,7UMM_1_J_A
359,7UMM_1_I_C
359,4JZJ_1_H_C
359,7MYZ_1_H_C
359,5TZU_1_H_C
359,8TNU_1_J_F
359,8TNU_1_H_E
359,8TNU_1_J_Y
359,8TNU_1_H_Z
359,5LCV_1_H_B
359,5N09_1_I_B
359,5N09_1_H_B
359,5N09_1_I_A
359,4UTB_1_I_B
359,6LXJ_1_H_A
359,6E3H_1_H_A
359,6LN2_1_C_A
359,7X1M_1_A_M
359,7UPW_1_F_C
359,7UPX_1_H_A
359,7UPY_1_H_B
359,7UPW_1_D_B
359,7UPW_1_H_A
359,7UPW_1_H_C
359,7UPY_1_H_C
359,7UPW_1_D_A
359,8Y6A_1_C_B
359,7UPW_1_F_B
359,7UPY_1_D_A
359,7UPY_1_D_C
359,7UPY_1_F_A
359,4LSU_1_H_G
359,8CBE_1_A_E
359,6MEK_1_I_A
359,8DOW_1_K_I
359,8DOW_1_G_E
359,8DOW_1_C_A
359,4JB9_1_H_G
359,7JTG_1_A_E
359,3ZTJ_1_K_E
359,5Y2L_1_I_A
359,8W0W_1_H_C
359,8DF5_1_A_R
359,8SIQ_1_M_A
359,7PS2_1_H_G
359,8QRF_1_A_E
359,8CBF_1_A_E
359,5VGJ_1_H_G
359,8TXT_1_J_E
359,8TXP_1_H_A
359,8W0V_1_H_C
359,8TXT_1_G_A
359,8TGV_1_B_D
359,8TGZ_1_E_A
359,8TGV_1_I_G
359,8TGV_1_E_A
359,7XCO_1_M_B
359,7XCO_1_H_A
359,7XCK_1_A_M
359,8TNU_1_B_G
359,4MWF_1_A_D
359,5VL3_1_H_Q
359,6WEZ_1_H_A
359,6WF0_1_H_A
359,8TXT_1_H_C
359,7C94_1_B_C
359,7L0N_1_A_R
359,7ARN_1_H_L
359,7RFB_1_A_C
359,5UKR_1_H_G
359,6PDX_1_M_B
359,6PDX_1_H_A
359,6PDX_1_O_C
359,7FAE_1_h_A
359,7MXD_1_X_F
359,7R6W_1_A_R
359,7UCF_1_D_G
359,7WG3_1_E_I
359,7WG3_1_G_K
359,7WG3_1_H_L
359,7WG3_1_F_J
359,7LL2_1_K_E
359,7LL2_1_H_A
359,7LL2_1_I_C
359,7XSW_1_H_R
359,6NZ7_1_H_A
359,8RUU_1_B_X
359,8RUU_1_H_Y
359,7LM8_1_M_A
359,6P95_1_H_c
359,6P95_1_F_b
359,6P95_1_D_a
359,5VK2_1_D_c
359,5VK2_1_F_b
359,5VK2_1_H_a
359,5DUM_1_H_A
359,4UBD_1_K_I
359,4UBD_1_C_A
359,7L09_1_M_A
359,7L02_1_M_A
359,7NDA_1_H_A
359,7S8H_1_B_A
359,7SYY_1_H_A
359,6UYF_1_H_E
359,6BKC_1_H_E
359,8CII_1_H_E
359,7T86_1_H_I
359,7X2H_1_A_E
359,4IRZ_1_H_A
359,4HPO_1_H_L
359,8CWJ_1_H_G
359,5K9K_1_A_I
359,7JN5_1_H_F
359,7MXD_1_C_G
359,7MXD_1_S_G
359,7MXD_1_J_A
359,7MXD_1_C_A
359,7MXD_1_J_F
359,7MXD_1_S_F
359,4KVN_1_H_A
359,7KQG_1_B_A
359,6WOQ_1_A_E
359,8D4R_1_H_G
359,6WO5_1_A_E
359,6MFT_1_H_G
359,6P8M_1_H_C
359,5IGX_1_H_G
359,5NUZ_1_A_C
359,8SGN_1_H_G
359,6XR0_1_H_M
359,7ZXF_1_D_A
359,3LIZ_1_H_A
359,5T78_1_B_F
359,6LXJ_1_E_B
359,4JZJ_1_A_D
359,8TG9_1_E_B
359,8TG9_1_H_A
359,6B3M_1_C_A
359,6B3M_1_O_G
359,7UDS_1_F_A
359,7UDS_1_H_C
359,7UDS_1_D_B
359,7TYV_1_G_b
359,7TYV_1_H_C
359,7TYV_1_G_B
359,7TYV_1_H_c
359,7TYV_1_D_a
359,7TYV_1_D_A
359,7S7I_1_H_A
359,7K3B_1_L_E
359,7K3B_1_J_C
359,7K37_1_L_E
359,7K37_1_H_A
359,7K39_1_J_C
359,7K3B_1_H_A
359,7K39_1_H_A
359,7K39_1_L_E
359,7K37_1_J_C
359,7Q9F_1_J_C
359,6MUG_1_H_G
359,7Q9F_1_H_A
359,7Q0H_1_A_E
359,7Q9F_1_E_B
359,6W9G_1_H_B
359,6W9G_1_K_C
359,7VZT_1_B_A
359,6W9G_1_X_A
359,5W6D_1_D_G
359,8SM1_1_H_G
359,6LXJ_1_M_D
359,6LXJ_1_J_C
359,7CJ2_1_C_A
359,6EYO_1_H_A
359,6UYG_1_H_E
359,4K94_1_H_C
359,8W0X_1_H_C
359,5VOC_1_H_D
359,6ejm_B
359,5dfw_B
360,2ju0_B
361,4xnm_B
361,6q0o_B
361,4hkx_B
361,6q18_B
361,6oc3_B
361,4yk4_B
361,4m5z_B
361,6q0h_B
361,5xku_B
361,5vag_B
362,3uaj_B
362,5gzn_B
362,6ivz_B
362,5gzo_B
362,5jhl_B
362,6iw0_B
363,6X4G_1_A_C
364,2lp4_B
365,3wwn_B
366,6GFF_1_C_I
367,7ZA3_1_G_C
367,7ZA3_1_E_C
367,7ZA3_1_G_A
367,7ZA3_1_H_B
367,7ZA3_1_F_D
368,5jtm_B
369,7OCI_1_H_F
369,8AGC_1_F_A
369,8AGE_1_F_A
369,6C26_1_C_A
369,6EZN_1_H_F
370,8PN9_1_G_A
370,6S7O_1_G_A
370,6S7T_1_G_A
371,5b77_B
371,5b75_B
371,5b76_B
371,5b78_B
372,5odw_B
373,1yrt_B
373,1yru_B
373,2k3s_B
374,9CKV_1_C_A
375,6IC6_1_C_A
375,1K3B_1_C_A
375,2DJF_1_C_A
375,4CDC_1_I_G
375,6RNI_1_C_A
375,6IC5_1_C_A
375,4CDE_1_F_D
375,6RN7_1_C_A
375,6RN6_1_C_A
375,2DJG_1_C_A
375,6RN9_1_C_A
375,6IC7_1_C_A
375,6RNE_1_C_A
376,1nl0_B
377,6GF6_1_A_B
378,3h6s_B
379,4ij3_B
379,5d93_B
380,1oey_B
381,7OCC_1_D_A
382,5FOB_1_A_B
382,8UH2_1_G_H
382,7NOZ_1_A_B
382,8UIN_1_A_B
382,8UIN_1_G_H
382,8UH2_1_A_B
382,6EHG_1_A_B
382,7QIV_1_A_B
382,7TV9_1_A_B
382,2I07_1_A_B
382,2WII_1_A_B
382,5FO8_1_A_B
382,2WIN_1_G_H
382,2WIN_1_A_B
383,5g1x_B
384,4qlb_B
385,1qa9_B
386,6a0z_B
386,6IDZ_1_A_B
386,6IDB_1_A_B
386,4BSI_1_A_B
386,4BSA_1_A_B
386,4BSC_1_A_B
386,4BSE_1_A_B
386,4BSD_1_A_B
386,4BSB_1_A_B
386,4BSF_1_A_B
386,4LKH_1_A_B
386,4BSH_1_A_B
386,5JW3_1_A_B
386,4BSG_1_A_B
386,4R8W_1_A_B
386,5VJK_1_A_B
386,7T1V_1_A_B
386,6N5A_1_A_B
386,4LKJ_1_A_B
386,6ICY_1_A_B
386,4KON_1_A_B
386,4KOM_1_A_B
386,4KOL_1_A_B
386,6ID5_1_A_B
386,6ID3_1_A_B
386,4LKI_1_A_B
386,5VJL_1_A_B
386,6ICX_1_A_B
386,6IDA_1_A_B
386,6ID9_1_A_B
386,6ICW_1_A_B
386,4LKK_1_A_B
386,2vis_B
386,2vir_B
387,1mzw_B
388,3ech_B
389,3rgf_B
390,3wqb_B
391,2khs_B
392,5oen_B
393,3c9a_B
393,1NQL_1_B_A
393,7LFS_1_E_A
393,5wb7_B
393,5e8d_B
394,4tq1_B
395,6RV6_1_A_B
395,6SEJ_1_A_B
395,6S0A_1_B_A
396,3crk_B
396,1y8n_B
397,5y1z_B
398,7T4Q_1_E_D
398,7T4R_1_F_E
398,5VOB_1_E_D
398,5VOC_1_E_D
398,7M30_1_E_D
398,7T4R_1_O_N
399,3b2u_B
399,6b3s_B
399,3c09_B
399,5sx4_B
400,2ot8_B
401,7YX8_1_A_H
402,4bxl_B
403,5OAR_1_A_D
403,5OAR_1_C_B
404,2i3s_B
405,5me5_B
406,6b0e_B
406,6phb_B
406,6phd_B
406,8EZM_1_A_H
406,6azz_B
406,6b08_B
406,6b0a_B
406,6phc_B
406,6b0g_B
407,4bd9_B
408,6plm_B
408,4byf_B
408,2ygg_B
408,6b8n_B
408,2wel_B
408,6mba_B
408,6n5w_B
408,1k93_B
408,6mc9_B
408,6k4k_B
408,6oqq_B
409,1hcf_B
410,6c83_B
411,1wdw_B
411,6hul_B
412,6ird_B
413,2es4_B
414,2lfw_B
415,6NRQ_1_B_A
415,6nrw_B
415,6on9_B
416,3oux_B
417,3mxw_B
417,3ho5_B
418,5sv3_B
419,1jrh_B
420,4etw_B
421,1FE8_1_A_H
422,4zfg_B
423,5ikc_B
424,5MZA_1_A_B
425,1sv0_B
426,6gho_B
427,3nvq_B
427,3nvn_B
428,1wpx_B
429,2ld7_B
430,5t0f_B
431,4D69_1_I_O
431,5T5L_1_A_a
431,5T5J_1_A_a
431,5T5O_1_A_a
431,5T5P_1_A_a
431,1dhk_B
432,6gbu_B
433,1h1v_B
434,2mak_B
435,3vyr_B
436,2aze_B
437,3kz0_B
437,3kj0_B
437,5vmo_B
437,3kj2_B
437,3kj1_B
437,2wh6_B
437,5wos_B
438,2b2x_B
438,1v7p_B
439,3ixt_B
440,6o3o_B
440,6arq_B
440,3u82_B
440,4myw_B
441,3p8m_B
442,4dgi_B
442,4h88_B
442,2w9e_B
